Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
102,Exit short,2026-07-10 09:09,TP,1.14386,2000,2287.98,0.12,0.01,0.14,0.19,0.01,-0.57,-0.02,35.07,7.01,2
102,Entry short,2026-07-10 09:03,B6 1x,1.14399,2000,2287.98,0.12,0.01,0.14,0.19,0.01,-0.57,-0.02,35.07,7.01,2
103,Exit short,2026-07-13 08:36,TP,1.14199,4000,4566.36,-1.88,-0.04,0.28,0.06,0.00,-1.74,-0.04,33.19,6.64,0
103,Entry short,2026-07-13 08:36,B7 2x,1.14159,4000,4566.36,-1.88,-0.04,0.28,0.06,0.00,-1.74,-0.04,33.19,6.64,0
104,Exit short,2026-07-13 09:24,TP,1.14383,1000,1144.27,0.37,0.03,0.07,0.41,0.04,-0.36,-0.03,33.56,6.71,4
104,Entry short,2026-07-13 09:12,B6 0.5x,1.14427,1000,1144.27,0.37,0.03,0.07,0.41,0.04,-0.36,-0.03,33.56,6.71,4
105,Exit long,2026-07-13 20:21,TP,1.13842,1000,1138.26,0.09,0.01,0.07,0.13,0.01,-0.11,-0.01,33.65,6.73,3
105,Entry long,2026-07-13 20:12,B6 0.5x,1.13826,1000,1138.26,0.09,0.01,0.07,0.13,0.01,-0.11,-0.01,33.65,6.73,3
106,Exit long,2026-07-17 20:27,TP,1.14358,1000,1143.55,-0.04,0.00,0.07,0,0.00,-0.07,-0.01,33.61,6.72,0
106,Entry long,2026-07-17 20:27,B6 0.5x,1.14355,1000,1143.55,-0.04,0.00,0.07,0,0.00,-0.07,-0.01,33.61,6.72,0
107,Exit short,2026-07-20 20:36,TP,1.14161,2000,2283.42,0.06,0.00,0.14,0.13,0.01,-0.27,-0.01,33.67,6.73,2
107,Entry short,2026-07-20 20:30,B6 1x,1.14171,2000,2283.42,0.06,0.00,0.14,0.13,0.01,-0.27,-0.01,33.67,6.73,2
108,Exit short,2026-07-21 08:24,TP,1.14248,1000,1142.72,0.17,0.01,0.07,0.21,0.02,-0.08,-0.01,33.84,6.77,1
108,Entry short,2026-07-21 08:21,B6 0.5x,1.14272,1000,1142.72,0.17,0.01,0.07,0.21,0.02,-0.08,-0.01,33.84,6.77,1
109,Exit short,2026-07-24 20:45,TP,1.13707,4000,4548.88,0.32,0.01,0.28,0.46,0.01,-0.18,0.00,34.16,6.83,2
109,Entry short,2026-07-24 20:39,B6 2x,1.13722,4000,4548.88,0.32,0.01,0.28,0.46,0.01,-0.18,0.00,34.16,6.83,2
110,Exit short,2026-07-30 14:39,TP,1.14883,1000,1149.31,0.41,0.04,0.07,0.45,0.04,-0.21,-0.02,34.57,6.91,0
110,Entry short,2026-07-30 14:39,B6 0.5x,1.14931,1000,1149.31,0.41,0.04,0.07,0.45,0.04,-0.21,-0.02,34.57,6.91,0
111,Exit short,2026-07-30 14:51,TP,1.15097,1000,1150.12,-0.92,-0.08,0.07,0.28,0.02,-0.88,-0.08,33.65,6.73,2
111,Entry short,2026-07-30 14:45,B6 0.5x,1.15012,1000,1150.12,-0.92,-0.08,0.07,0.28,0.02,-0.88,-0.08,33.65,6.73,2
112,Exit short,2026-07-31 10:03,TP,1.15186,8000,9217.92,2.48,0.03,0.56,2.76,0.03,-3.24,-0.04,36.13,7.23,2
112,Entry short,2026-07-31 09:57,B7 4x,1.15224,8000,9217.92,2.48,0.03,0.56,2.76,0.03,-3.24,-0.04,36.13,7.23,2
113,Exit short,2026-07-31 14:21,TP,1.14966,4000,4596.88,-2.04,-0.04,0.28,0.1,0.00,-1.9,-0.04,34.09,6.82,0
113,Entry short,2026-07-31 14:21,B6 2x,1.14922,4000,4596.88,-2.04,-0.04,0.28,0.1,0.00,-1.9,-0.04,34.09,6.82,0
114,Exit short,2026-07-31 14:30,TP,1.14957,4000,4599.52,0.96,0.02,0.28,1.1,0.02,-2.1,-0.05,35.05,7.01,2
114,Entry short,2026-07-31 14:24,B6 2x,1.14988,4000,4599.52,0.96,0.02,0.28,1.1,0.02,-2.1,-0.05,35.05,7.01,2
115,Exit long,2026-07-31 14:39,TP,1.14561,5000,5732.25,-4.55,-0.08,0.35,0.78,0.01,-4.37,-0.08,30.5,6.10,0
115,Entry long,2026-07-31 14:39,B8 2.5x,1.14645,5000,5732.25,-4.55,-0.08,0.35,0.78,0.01,-4.37,-0.08,30.5,6.10,0
116,Exit long,2026-08-03 08:21,TP,1.15258,2000,2304.46,0.56,0.02,0.14,0.63,0.03,-0.39,-0.02,31.06,6.21,1
116,Entry long,2026-08-03 08:18,B7 1x,1.15223,2000,2304.46,0.56,0.02,0.14,0.63,0.03,-0.39,-0.02,31.06,6.21,1
117,Exit short,2026-08-04 14:21,TP,1.15184,1000,1151.51,-0.4,-0.03,0.07,0.17,0.01,-0.36,-0.03,30.66,6.13,0
117,Entry short,2026-08-04 14:21,B6 0.5x,1.15151,1000,1151.51,-0.4,-0.03,0.07,0.17,0.01,-0.36,-0.03,30.66,6.13,0
118,Exit long,2026-08-05 09:54,TP,1.15368,4000,4613.4,1.04,0.02,0.28,1.18,0.03,-1.18,-0.03,31.7,6.34,4
118,Entry long,2026-08-05 09:42,B6 2x,1.15335,4000,4613.4,1.04,0.02,0.28,1.18,0.03,-1.18,-0.03,31.7,6.34,4
119,Exit long,2026-08-06 09:06,TP,1.15432,1000,1154.21,0.04,0.00,0.07,0.08,0.01,-0.2,-0.02,31.74,6.35,1
119,Entry long,2026-08-06 09:03,B6 0.5x,1.15421,1000,1154.21,0.04,0.00,0.07,0.08,0.01,-0.2,-0.02,31.74,6.35,1
120,Exit long,2026-08-06 20:30,TP,1.1521,5000,5759.55,0.6,0.01,0.35,0.78,0.01,-1.02,-0.02,32.34,6.47,1
120,Entry long,2026-08-06 20:27,B8 2.5x,1.15191,5000,5759.55,0.6,0.01,0.35,0.78,0.01,-1.02,-0.02,32.34,6.47,1
121,Exit short,2026-08-06 20:57,TP,1.15231,4000,4610,0.48,0.01,0.28,0.62,0.01,-0.3,-0.01,32.82,6.56,1
121,Entry short,2026-08-06 20:54,B6 2x,1.1525,4000,4610,0.48,0.01,0.28,0.62,0.01,-0.3,-0.01,32.82,6.56,1
