Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
151,Entry long,2026-05-18 01:03,GOLD BUY,1.16182,2000,2323.64,6.12,0.26,0.08,7.79,0.34,-2.03,-0.09,216.33,21.63,380
152,Exit short,2026-05-19 06:30,GOLD FLIP,1.16357,2000,2329.84,2.6,0.11,0.11,3.01,0.13,-2.63,-0.11,218.86,21.89,209
152,Entry short,2026-05-18 20:03,GOLD SELL,1.16492,2000,2329.84,2.6,0.11,0.11,3.01,0.13,-2.63,-0.11,218.86,21.89,209
153,Exit short,2026-05-19 06:30,GOLD FLIP,1.16357,2000,2330.62,3.38,0.14,0.11,3.79,0.16,-0.27,-0.01,222.3,22.23,109
153,Entry short,2026-05-19 01:03,GOLD SELL,1.16531,2000,2330.62,3.38,0.14,0.11,3.79,0.16,-0.27,-0.01,222.3,22.23,109
154,Exit long,2026-05-20 20:06,GOLD FLIP,1.16321,2000,2327.14,-0.81,-0.03,0.09,1.97,0.08,-10.73,-0.46,221.35,22.13,752
154,Entry long,2026-05-19 06:30,GOLD BUY,1.16357,2000,2327.14,-0.81,-0.03,0.09,1.97,0.08,-10.73,-0.46,221.35,22.13,752
155,Exit long,2026-05-20 20:06,GOLD FLIP,1.16321,2000,2320.98,5.35,0.23,0.09,7.97,0.34,-4.57,-0.20,226.76,22.68,481
155,Entry long,2026-05-19 20:03,GOLD BUY,1.16049,2000,2320.98,5.35,0.23,0.09,7.97,0.34,-4.57,-0.20,226.76,22.68,481
156,Exit long,2026-05-20 20:06,GOLD FLIP,1.16321,2000,2318.44,7.89,0.34,0.09,10.51,0.45,-2.03,-0.09,234.72,23.47,265
156,Entry long,2026-05-20 06:51,GOLD BUY,1.15922,2000,2318.44,7.89,0.34,0.09,10.51,0.45,-2.03,-0.09,234.72,23.47,265
157,Exit short,2026-05-22 07:00,GOLD FLIP,1.16093,2000,2326.42,4.46,0.19,0.11,11.09,0.48,-0.79,-0.03,239.11,23.91,698
157,Entry short,2026-05-20 20:06,GOLD SELL,1.16321,2000,2326.42,4.46,0.19,0.11,11.09,0.48,-0.79,-0.03,239.11,23.91,698
158,Exit short,2026-05-22 07:00,GOLD FLIP,1.16093,2000,2322.52,0.56,0.02,0.11,1.03,0.04,-2.41,-0.10,239.73,23.97,219
158,Entry short,2026-05-21 20:03,GOLD SELL,1.16126,2000,2322.52,0.56,0.02,0.11,1.03,0.04,-2.41,-0.10,239.73,23.97,219
159,Exit long,2026-05-22 20:06,GOLD FLIP,1.16091,2000,2321.86,-0.18,-0.01,0.14,1.91,0.08,-4.29,-0.18,239.55,23.96,262
159,Entry long,2026-05-22 07:00,GOLD BUY,1.16093,2000,2321.86,-0.18,-0.01,0.14,1.91,0.08,-4.29,-0.18,239.55,23.96,262
160,Exit short,2026-05-26 01:03,GOLD FLIP,1.16357,2000,2321.82,-5.41,-0.23,0.09,2.11,0.09,-8.83,-0.38,234,23.40,578
160,Entry short,2026-05-22 20:06,GOLD SELL,1.16091,2000,2321.82,-5.41,-0.23,0.09,2.11,0.09,-8.83,-0.38,234,23.40,578
161,Exit short,2026-05-26 01:03,GOLD FLIP,1.16357,2000,2327.74,0.51,0.02,0.09,1.75,0.08,-2.91,-0.13,234.57,23.46,478
161,Entry short,2026-05-25 01:09,GOLD SELL,1.16387,2000,2327.74,0.51,0.02,0.09,1.75,0.08,-2.91,-0.13,234.57,23.46,478
162,Exit short,2026-05-26 01:03,GOLD FLIP,1.16357,2000,2328.66,1.43,0.06,0.09,1.75,0.08,-0.17,-0.01,236.07,23.61,100
162,Entry short,2026-05-25 20:03,GOLD SELL,1.16433,2000,2328.66,1.43,0.06,0.09,1.75,0.08,-0.17,-0.01,236.07,23.61,100
163,Exit long,2026-05-27 06:06,GOLD FLIP,1.16431,2000,2327.14,1.39,0.06,0.09,1.83,0.08,-3.93,-0.17,237.32,23.73,581
163,Entry long,2026-05-26 01:03,GOLD BUY,1.16357,2000,2327.14,1.39,0.06,0.09,1.83,0.08,-3.93,-0.17,237.32,23.73,581
164,Exit long,2026-05-27 06:06,GOLD FLIP,1.16431,2000,2325.9,2.63,0.11,0.09,3.07,0.13,-2.69,-0.12,240.01,24.00,480
164,Entry long,2026-05-26 06:06,GOLD BUY,1.16295,2000,2325.9,2.63,0.11,0.09,3.07,0.13,-2.69,-0.12,240.01,24.00,480
165,Exit long,2026-05-27 06:06,GOLD FLIP,1.16431,2000,2325.8,2.73,0.12,0.09,2.85,0.12,-1.47,-0.06,242.81,24.28,200
165,Entry long,2026-05-26 20:06,GOLD BUY,1.1629,2000,2325.8,2.73,0.12,0.09,2.85,0.12,-1.47,-0.06,242.81,24.28,200
166,Exit short,2026-05-27 20:03,GOLD FLIP,1.16298,2000,2328.62,2.52,0.11,0.14,4.11,0.18,-3.65,-0.16,245.33,24.53,279
